plate,status,entry_time,exit_time,duration_minutes,fee,payment_method,entry_camera,exit_camera,user_name,session_uuid
۶۲س۷۵۵-۲۷,completed,2026-07-30T15:44:40.524269+00:00,2026-07-30T15:46:42.050468+00:00,2,0,wallet,entry,exit,ME PA,a498aa48-589c-40b8-91bb-46e6f14fbba9
۸۸ی۴۳۴-۱۷,waived,2026-07-29T15:00:08.256936+00:00,2026-07-29T19:06:06.203728+00:00,245,0,waived,entry,,,b611f0a9-ae3e-4631-aa2a-918eee71dbec
۸۲د۴۸۶-۱۲,waived,2026-07-29T14:59:18.935747+00:00,2026-07-29T19:06:06.203728+00:00,246,0,waived,entry,,,075c834d-5c3e-40a9-8421-71e7e1efc587
۸۲و۳۸۴-۱۷,waived,2026-07-29T14:59:14.182410+00:00,2026-07-29T19:06:06.203728+00:00,246,0,waived,entry,,,bbdfb6e5-5f55-4e3a-82aa-3ed9f34ef175
۳۴ه۷۷۳-۱۷,waived,2026-07-29T14:56:55.401165+00:00,2026-07-29T15:00:34.502707+00:00,3,0,waived,entry,exit,,0ee016f3-7a58-4e17-867d-9672016bd3c1
۸۸ی۴۲۴-۱۲,waived,2026-07-29T14:56:10.546814+00:00,2026-07-29T19:06:06.203728+00:00,249,0,waived,entry,,,690e7990-aaa3-49b5-b396-8a5aa87bfa5e
۷۱ل۶۷۶-۱۷,waived,2026-07-29T14:48:24.636119+00:00,2026-07-29T19:06:06.203728+00:00,257,0,waived,entry,,,1ec7c197-3fac-4870-bae0-fe02b77b1abe
۶۲ن۲۴۴-۱۷,waived,2026-07-29T14:32:48.549542+00:00,2026-07-29T19:06:06.203728+00:00,273,0,waived,entry,,,667a347a-5451-467d-8a56-75f26d98e5fe
۴۹ل۱۵۳-۱۷,waived,2026-07-29T14:26:56.906716+00:00,2026-07-29T19:06:06.203728+00:00,279,0,waived,entry,,,e2a33763-9e1e-485b-9a9d-cfa1cab82ef9
۵۸م۹۳۶-۱۷,waived,2026-07-29T14:22:06.194965+00:00,2026-07-29T14:27:51.133166+00:00,5,0,waived,entry,exit,,0aa5c624-3479-4af6-9961-653f9708b003
۲۲ب۳۴۵-۱۷,waived,2026-07-29T14:21:24.560699+00:00,2026-07-29T19:06:06.203728+00:00,284,0,waived,entry,,,d1fe16a3-db06-4b10-b81c-ea5235aaad1a
۴۷د۷۹۵-۱۷,waived,2026-07-29T14:13:26.056380+00:00,2026-07-29T19:06:06.203728+00:00,292,0,waived,entry,,,5f40eadd-030f-4253-910d-5718b6c5ad83
۷۴ه۸۶۱-۱۷,waived,2026-07-29T14:10:19.227059+00:00,2026-07-29T19:06:06.203728+00:00,295,0,waived,entry,,,a064923a-f355-4146-a96e-3b724d24c628
۹۷و۲۳۳-۱۷,waived,2026-07-29T14:07:55.485886+00:00,2026-07-29T19:06:06.203728+00:00,298,0,waived,entry,,,8fe24aa8-94d1-47a2-b8da-4e8773ee25cb
۳۷م۶۴۶-۱۷,waived,2026-07-29T13:47:25.804963+00:00,2026-07-29T19:06:06.203728+00:00,318,0,waived,entry,,,9ba93d4c-06d5-44d6-83f0-7bedc6d36395
۳۷م۶۴۶-۱۷,waived,2026-07-29T13:43:17.754137+00:00,2026-07-29T19:06:06.203728+00:00,322,0,waived,entry,,,c85f4709-b07d-4d3c-9251-a8b1f2618c00
۱۵ج۲۷۹-۱۷,waived,2026-07-29T13:41:26.861389+00:00,2026-07-29T19:06:06.203728+00:00,324,0,waived,entry,,,c952bc46-3a70-4f51-9edf-4bf882197465
۳۲ص۲۶۱-۱۷,waived,2026-07-29T13:40:53.885773+00:00,2026-07-29T13:45:39.963272+00:00,4,0,waived,entry,exit,,2ef0fd51-7ace-468e-afe1-d8d3d47b521b
۹۵س۲۱۱-۲۷,waived,2026-07-29T13:31:05.400620+00:00,2026-07-29T19:06:06.203728+00:00,335,0,waived,entry,,,7453a75e-10e7-4cae-917a-c731ed52147e
۱۵س۲۸۱-۲۷,waived,2026-07-29T13:30:58.621541+00:00,2026-07-29T13:35:31.768059+00:00,4,0,waived,entry,exit,,769d3adc-f34a-4f02-b4c3-b405a64acd43
۸۸ج۳۷۵-۱۷,waived,2026-07-29T13:22:30.339513+00:00,2026-07-29T19:06:06.203728+00:00,343,0,waived,entry,,,a3f51f85-fd1e-4b7c-a681-71429bd5782c
۳۳ص۷۲۷-۱۷,waived,2026-07-29T13:15:18.010574+00:00,2026-07-29T13:21:49.126710+00:00,6,0,waived,entry,exit,,01c8edc8-301a-4f9f-bec1-a46fd6f956c4
۵۲د۵۴۲-۱۷,waived,2026-07-29T13:12:52.426352+00:00,2026-07-29T14:05:01.380354+00:00,52,35000,waived,entry,exit,,3ef298c0-c860-47c6-bee2-ff55110fff42
۵۳س۲۸۶-۱۷,waived,2026-07-29T13:08:56.920307+00:00,2026-07-29T19:06:06.203728+00:00,357,0,waived,entry,,,d04172bf-3b7a-416e-b8cb-25183e899203
۲۵ی۹۲۶-۱۷,waived,2026-07-29T13:03:57.433546+00:00,2026-07-29T13:10:27.603899+00:00,6,0,waived,entry,exit,,196f6e2c-ec2d-41e8-a86f-c9d7db5fe634
۷۱و۳۸۱-۱۷,waived,2026-07-29T12:47:27.013126+00:00,2026-07-29T12:57:34.257326+00:00,10,0,waived,entry,exit,,46a64411-da5c-41f9-b77e-9ec4f80d9b5d
۲۸ن۵۷۲-۱۷,waived,2026-07-29T12:42:24.603586+00:00,2026-07-29T19:06:06.203728+00:00,383,0,waived,entry,,,5f01c98c-a546-4ed7-9c90-c09bb88f8097
۷۲ی۹۳۴-۱۷,waived,2026-07-29T12:39:14.548966+00:00,2026-07-29T12:49:13.884966+00:00,9,0,waived,entry,exit,,81146727-59cc-47c0-94f3-4aeabdef03a5
۳۵ب۵۹۷-۱۷,waived,2026-07-29T12:35:52.282833+00:00,2026-07-29T19:06:06.203728+00:00,390,0,waived,entry,,,0dd96bc8-a6bd-423f-988f-88bc2ddca6ef
۲۵ن۵۶۸-۳۷,waived,2026-07-29T12:32:32.969618+00:00,2026-07-29T12:43:04.004575+00:00,10,0,waived,entry,exit,,146bb196-1dc3-411c-8ac5-828e69880dbe
۵۳س۲۸۶-۱۷,waived,2026-07-29T12:20:27.319113+00:00,2026-07-29T19:06:06.203728+00:00,405,0,waived,entry,,,a2a2c38d-86a9-4bca-b063-b3e98b71099c
۹۹م۹۷۵-۱۷,waived,2026-07-29T12:19:47.822260+00:00,2026-07-29T12:33:40.071542+00:00,13,2500,waived,entry,exit,,dc6492d6-7162-45b0-a0f3-54a9d91340a5
۹۹۹۷۵-۹۷,waived,2026-07-29T12:19:45.463360+00:00,2026-07-29T19:06:06.203728+00:00,406,0,waived,entry,,,073ca0bb-ffa5-4042-ad55-8f849fed55d0
۸۵ب۱۱۸-۱۷,waived,2026-07-29T12:18:47.793489+00:00,2026-07-29T12:22:30.312682+00:00,3,0,waived,entry,exit,,b120ab27-42e0-4f8f-9912-746ec72e26ac
۹۴ب۹۵۶-۲۷,waived,2026-07-29T12:18:10.582333+00:00,2026-07-29T12:41:29.348663+00:00,23,10833,waived,entry,exit,,03938135-bc63-433e-9941-b3d15d169f18
۲۵ی۳۹۴-۱۷,waived,2026-07-29T12:14:31.300530+00:00,2026-07-29T19:06:06.203728+00:00,411,0,waived,entry,,,652f1ea6-6634-4f8c-9293-56db799654c1
۴۲ص۷۸۸-۱۷,waived,2026-07-29T12:11:09.416407+00:00,2026-07-29T19:06:06.203728+00:00,414,0,waived,entry,,,a7257d89-ae4d-42c9-999d-482d915572ab
۹۲د۹۱۹-۱۷,waived,2026-07-29T11:58:58.038679+00:00,2026-07-29T19:06:06.203728+00:00,427,0,waived,entry,,,e29e9753-5e9e-4382-83d4-2c57871f3cbb
۹۲د۹۱۹-۱۷,waived,2026-07-29T11:54:42.728543+00:00,2026-07-29T19:06:06.203728+00:00,431,0,waived,entry,,,7712e61d-94b9-4733-9180-e5d12f2329dd
۳۳م۳۲۲-۱۷,waived,2026-07-29T11:44:09.309184+00:00,2026-07-29T19:06:06.203728+00:00,441,0,waived,entry,,,cc412849-5cc4-4e12-b092-f6c40fc79175
۶۲و۶۴۲-۱۷,waived,2026-07-29T11:38:18.283603+00:00,2026-07-29T19:06:06.203728+00:00,447,0,waived,entry,,,ccd76f1c-7210-4804-8603-cb6f60d14462
۷۹ل۶۸۴-۲۷,waived,2026-07-29T11:30:27.808177+00:00,2026-07-29T12:05:12.084274+00:00,34,20000,waived,entry,exit,,d6dc02ba-952b-4329-b91e-8103d944b69f
۹۹ی۶۶۲-۱۷,waived,2026-07-29T11:23:08.192795+00:00,2026-07-29T11:28:03.266514+00:00,4,0,waived,entry,exit,,601d5d5f-4db7-42d3-9237-6a1eb1d2a556
۹۳و۲۲۵-۱۷,waived,2026-07-29T11:20:56.601623+00:00,2026-07-29T19:06:06.203728+00:00,465,0,waived,entry,,,535e4d72-d732-4786-99f6-a8ebbbbaa930
۲۱ج۷۱۷-۱۷,waived,2026-07-29T11:18:17.258898+00:00,2026-07-29T19:06:06.203728+00:00,467,0,waived,entry,,,b67cc3d4-311c-41fa-a76a-c547882bd34b
۶۲و۱۶۵-۱۷,waived,2026-07-29T11:17:52.941018+00:00,2026-07-29T13:34:51.465600+00:00,136,105000,waived,entry,exit,,8e39d7d1-e82a-4f12-88ec-92b86f43e94c
۲۵س۴۹۴-۱۷,waived,2026-07-29T11:12:44.316987+00:00,2026-07-29T19:06:06.203728+00:00,473,0,waived,entry,,,7cc36e8b-8b48-4b3a-8c2b-8a693e234006
